# Residuals  
# Time       	p            	Ux           	Uy           	k            	epsilon      
0.000125     	1.000000e+000	1.000000e+000	1.000000e+000	1.000000e+000	6.868470e-002
0.000131387  	6.435670e-002	1.798830e-001	1.642870e-002	2.882130e-002	8.211020e-003
0.000138336  	4.866230e-001	4.084050e-003	1.965980e-002	1.786160e-002	5.443240e-003
0.000145638  	1.535210e-001	1.633410e-003	2.652700e-003	1.395090e-002	5.461180e-003
0.000153266  	1.151720e-001	1.467490e-003	2.021380e-003	1.153760e-002	5.267540e-003
0.000161106  	9.470760e-002	1.356970e-003	1.658330e-003	1.001750e-002	4.913060e-003
0.000169173  	8.295680e-002	1.278280e-003	1.436370e-003	9.076160e-003	4.558120e-003
0.000177399  	7.104750e-002	1.205630e-003	1.268800e-003	8.349700e-003	4.187600e-003
0.000185793  	6.501620e-002	1.148320e-003	1.151600e-003	7.855260e-003	3.855220e-003
0.000194274  	5.789300e-002	1.095620e-003	1.055410e-003	7.371630e-003	3.578820e-003
0.000202938  	5.727550e-002	1.065280e-003	9.942420e-004	7.076590e-003	3.472370e-003
0.000211697  	5.043360e-002	1.029830e-003	9.366530e-004	6.787760e-003	3.341510e-003
0.000220554  	4.684050e-002	1.000940e-003	8.928070e-004	6.537010e-003	3.203470e-003
0.000229617  	4.645050e-002	9.879420e-004	8.687880e-004	6.389700e-003	3.257010e-003
0.000238788  	4.159260e-002	9.663630e-004	8.411520e-004	6.210220e-003	3.241070e-003
0.00024796   	3.835310e-002	9.369290e-004	8.099430e-004	5.984000e-003	3.155120e-003
0.000257244  	3.814640e-002	9.222760e-004	7.946340e-004	5.852210e-003	3.112320e-003
0.000266646  	3.646710e-002	9.101190e-004	7.834230e-004	5.721700e-003	3.095560e-003
0.00027617   	3.497630e-002	9.019310e-004	7.749960e-004	5.620140e-003	3.060290e-003
0.000285821  	3.401100e-002	8.955980e-004	7.696770e-004	5.534650e-003	3.035880e-003
0.000295604  	3.597380e-002	8.931950e-004	7.679560e-004	5.443700e-003	2.997970e-003
0.000305388  	2.746830e-002	8.822690e-004	7.599300e-004	5.280840e-003	2.944440e-003
0.000315311  	2.801780e-002	8.700710e-004	7.517630e-004	5.210660e-003	2.922880e-003
0.000325234  	2.733830e-002	8.590860e-004	7.437640e-004	5.084500e-003	2.854540e-003
0.000335157  	2.260660e-002	8.441810e-004	7.330750e-004	4.959960e-003	2.788390e-003
0.00034508   	2.443680e-002	8.338050e-004	7.255510e-004	4.838900e-003	2.724390e-003
0.000355003  	2.052430e-002	8.263210e-004	7.204290e-004	4.719860e-003	2.657910e-003
0.000365081  	2.215250e-002	8.301380e-004	7.257910e-004	4.686660e-003	2.629340e-003
0.000375159  	1.936720e-002	8.230750e-004	7.218470e-004	4.583520e-003	2.561990e-003
0.000385237  	1.913410e-002	8.144180e-004	7.169570e-004	4.477870e-003	2.503000e-003
0.000395315  	1.925390e-002	8.070820e-004	7.131580e-004	4.377370e-003	2.444700e-003
0.000405564  	1.992830e-002	8.122210e-004	7.208280e-004	4.355200e-003	2.420870e-003
0.000415813  	1.783110e-002	8.056540e-004	7.177060e-004	4.266460e-003	2.352960e-003
0.000426062  	1.963490e-002	7.991250e-004	7.147550e-004	4.182630e-003	2.288920e-003
0.000436311  	1.869090e-002	7.958770e-004	7.141650e-004	4.096570e-003	2.228690e-003
0.000446749  	1.866730e-002	8.058420e-004	7.256480e-004	4.088370e-003	2.205200e-003
0.000457188  	1.697020e-002	7.999250e-004	7.228580e-004	4.009700e-003	2.138570e-003
0.000467627  	1.649510e-002	7.948270e-004	7.206440e-004	3.932280e-003	2.072910e-003
0.000478066  	1.724170e-002	7.901220e-004	7.186690e-004	3.857010e-003	2.017440e-003
0.000488717  	1.683110e-002	7.997120e-004	7.303220e-004	3.857970e-003	2.006850e-003
0.000499369  	1.546820e-002	7.948510e-004	7.287840e-004	3.788330e-003	1.954960e-003
0.000510021  	1.555950e-002	7.899730e-004	7.272860e-004	3.722230e-003	1.900600e-003
0.000520672  	1.653740e-002	7.851100e-004	7.260190e-004	3.654510e-003	1.849310e-003
0.000531324  	1.483240e-002	7.796130e-004	7.243110e-004	3.589740e-003	1.806130e-003
0.000541976  	1.716370e-002	7.768090e-004	7.243480e-004	3.528000e-003	1.765100e-003
0.000552628  	1.696270e-002	7.754620e-004	7.255160e-004	3.469840e-003	1.724360e-003
0.000563279  	1.534400e-002	7.732530e-004	7.260470e-004	3.413670e-003	1.684160e-003
0.000573931  	1.422060e-002	7.705590e-004	7.259990e-004	3.359100e-003	1.645270e-003
0.000584583  	1.277070e-002	7.664460e-004	7.248530e-004	3.305850e-003	1.611200e-003
0.000595235  	1.300860e-002	7.635750e-004	7.244650e-004	3.256210e-003	1.580440e-003
0.000605886  	1.351400e-002	7.609770e-004	7.242090e-004	3.208850e-003	1.555100e-003
0.000616538  	1.337600e-002	7.595110e-004	7.247080e-004	3.163840e-003	1.533840e-003
0.000627494  	1.611230e-002	7.765960e-004	7.428740e-004	3.208790e-003	1.555940e-003
0.00063845   	1.257990e-002	7.736860e-004	7.427550e-004	3.161210e-003	1.534690e-003
0.000649406  	1.226850e-002	7.713590e-004	7.424070e-004	3.117100e-003	1.511790e-003
0.000660362  	1.239660e-002	7.692830e-004	7.421460e-004	3.076430e-003	1.487520e-003
0.000671318  	1.295400e-002	7.676470e-004	7.424040e-004	3.036160e-003	1.462390e-003
0.000682274  	1.345300e-002	7.657260e-004	7.424070e-004	2.996670e-003	1.437580e-003
0.00069323   	1.245930e-002	7.620690e-004	7.414130e-004	2.958830e-003	1.414110e-003
0.000704186  	1.139650e-002	7.597750e-004	7.417310e-004	2.922290e-003	1.391700e-003
0.000715142  	1.118830e-002	7.576120e-004	7.418220e-004	2.887110e-003	1.369360e-003
0.000726099  	1.111850e-002	7.555190e-004	7.418010e-004	2.851180e-003	1.347420e-003
0.000737055  	1.115910e-002	7.533500e-004	7.417690e-004	2.814260e-003	1.327860e-003
0.000748011  	1.139020e-002	7.513140e-004	7.417440e-004	2.778330e-003	1.308650e-003
0.000759465  	1.748730e-002	7.825990e-004	7.747790e-004	2.867840e-003	1.347960e-003
0.000770919  	1.558420e-002	7.795640e-004	7.745320e-004	2.834780e-003	1.328310e-003
0.000782373  	1.367620e-002	7.789100e-004	7.750400e-004	2.802620e-003	1.307440e-003
0.000793827  	1.253640e-002	7.794110e-004	7.768050e-004	2.771070e-003	1.287680e-003
0.000805281  	1.262310e-002	7.787750e-004	7.774480e-004	2.739270e-003	1.273270e-003
0.000816735  	1.086200e-002	7.750490e-004	7.763530e-004	2.707730e-003	1.260580e-003
0.000828189  	1.074000e-002	7.741100e-004	7.772540e-004	2.677470e-003	1.245520e-003
0.000839643  	1.153070e-002	7.727070e-004	7.778420e-004	2.648390e-003	1.230600e-003
0.000851097  	1.099110e-002	7.719140e-004	7.789950e-004	2.620400e-003	1.217290e-003
0.000862551  	1.143020e-002	7.698610e-004	7.790980e-004	2.593120e-003	1.203700e-003
0.000874005  	1.105900e-002	7.677800e-004	7.793420e-004	2.566650e-003	1.190380e-003
0.000885459  	1.094130e-002	7.661790e-004	7.797040e-004	2.540340e-003	1.177200e-003
0.000896913  	1.034830e-002	7.648500e-004	7.803010e-004	2.514800e-003	1.164820e-003
0.000908368  	1.036590e-002	7.635350e-004	7.807450e-004	2.491850e-003	1.152910e-003
0.000919822  	1.111800e-002	7.620630e-004	7.815490e-004	2.468160e-003	1.139420e-003
0.000931276  	1.132270e-002	7.609890e-004	7.824390e-004	2.444370e-003	1.125870e-003
0.00094273   	1.049150e-002	7.583150e-004	7.815510e-004	2.421950e-003	1.111770e-003
0.000954184  	1.039170e-002	7.568090e-004	7.818850e-004	2.398550e-003	1.098290e-003
0.000965638  	9.303820e-003	7.548930e-004	7.815580e-004	2.376070e-003	1.085590e-003
0.000977092  	9.808880e-003	7.536280e-004	7.818120e-004	2.354080e-003	1.072800e-003
0.000988546  	1.063820e-002	7.520020e-004	7.821360e-004	2.333060e-003	1.060220e-003
0.001        	1.344910e-002	7.514290e-004	7.832830e-004	2.313120e-003	1.048380e-003
0.0010122    	1.909340e-002	7.996440e-004	8.362230e-004	2.442470e-003	1.103410e-003
0.00102454   	1.141470e-002	8.088980e-004	8.492490e-004	2.452420e-003	1.104500e-003
0.00103689   	1.102090e-002	8.066140e-004	8.495810e-004	2.430610e-003	1.092720e-003
0.00104924   	1.048460e-002	8.049320e-004	8.501840e-004	2.409530e-003	1.081350e-003
0.00106175   	1.109790e-002	8.140680e-004	8.620230e-004	2.420340e-003	1.085350e-003
0.00107426   	1.055750e-002	8.126340e-004	8.628400e-004	2.400390e-003	1.076110e-003
0.00108677   	1.084720e-002	8.113500e-004	8.634450e-004	2.380880e-003	1.067930e-003
0.00109928   	1.145190e-002	8.105050e-004	8.644730e-004	2.360510e-003	1.060390e-003
0.00111179   	9.623600e-003	8.081640e-004	8.644570e-004	2.339490e-003	1.051970e-003
0.0011243    	1.007570e-002	8.068300e-004	8.648330e-004	2.319210e-003	1.042760e-003
0.00113681   	9.369190e-003	8.049940e-004	8.646450e-004	2.299690e-003	1.033670e-003
0.0011495    	1.085050e-002	8.156990e-004	8.785840e-004	2.313820e-003	1.039900e-003
0.0011622    	9.889960e-003	8.145200e-004	8.800120e-004	2.293630e-003	1.030710e-003
0.00117489   	9.738230e-003	8.134580e-004	8.812790e-004	2.273200e-003	1.021490e-003
0.00118758   	1.050920e-002	8.124050e-004	8.823820e-004	2.254390e-003	1.012420e-003
0.00120028   	1.114000e-002	8.114810e-004	8.834540e-004	2.235700e-003	1.002820e-003
0.00121318   	1.392540e-002	8.227420e-004	8.982760e-004	2.253840e-003	1.008660e-003
